brand_name,price_count
Côté Nature,5
Sainsbury's,144
Coop Eesti,2
Interspar,74
Tesco Extra,80
Norfa XL,11
Rewe,391
A2Pas,52
BİM,5
Netto City,607
Tesco Express,282
Best-one,2
WHSmith,22
Les Comptoirs De La Bio,21
Marjane,15
Meijer,2
7-ELEVEN,1
Botanic,426
Esselunga,73
Vival,277
Asda,32
Cora,166
Shop&Go,1
Soriana,45
TK Maxx,2
Intersport,7
Proxi,261
Leroy Merlin,52
Bahadourian,240
GiFi,59
Metro,9
CocciMarket,127
Jumbo,67
Selver,6
Albert Heijn XL,19
FreshChoice,1
Diagonal,44
全家便利商店,6
家樂福,62
全聯福利中心,95
Satoriz,195
Système U,11
ShopRite,310
Mr.Bricolage,23
Nespresso,33
LPG BioMarkt,2
Edeka,300
Ekoplaza,5
Aldi Süd,103
London Drugs,89
Co-op Food,23
Studenac,7
Konzum,43
Ahorramás,17
Hyper U,218
365discount,2
Combi,1
E.Leclerc Drive,814
Station U,11
Fry's Food and Drug,2
Dr. Max,2
Alepa,5
Woolworths,10
Matkroken,36
Naturalia Vegan,1
百佳超級市場 PARKnSHOP,4
Dealz,8
Smart & Final,370
TEDi,2
Dia,28
PENNY.,2
Starbucks,3
Winn-Dixie,1
E. Leclerc Express,1
No Frills,9
Colruyt,123
Delhaize Proxy,2
Vitusapotek,2
Total,25
Sam's Club,3
Normal,19
tegut,51
Plaza Vea,2
Conad,157
A101,2
Giant Food,13
Waitrose,8
Europris,193
But,11
Votre Marché,7
naturéO,2
National Grid,2
Kroger,1
Alcampo,66
ΑΒ Βασιλόπουλος,7
Covirán,10
Dunnes Stores,3
Farmacias del Ahorro,1
Rimi,260
Сільпо,6
Iperal,3
Foodland,10
Marks & Spencer,8
Zeeman,3
Globus,5
Bipa,1
Bim,1
Aldi Nord,9
Animalis,1
Intermarché Hyper,3334
SPAR Gourmet,14
denn's Biomarkt,14
Maxima XX,22
Hemköp,8
NOUS anti-gaspi,8
Giant,3
Assaí Atacadista,4
Maxima X,167
MPREIS,28
Paris Store,58
monop',13
Grocery Outlet,407
Depot,2
Maxima XXX,75
Londis,2
K-Citymarket,32
Prisma,5
Denns BioMarkt,12
REWE City,23
Gibert Joseph,5
Eroski,9
Radatz,2
K-Supermarket,75
Condis,3
Bricorama,5
Westfield,1
Jour de Fête,16
Bilka,5
Reformhaus Bacher,1
Go Asia,10
MyAuchan,4
Premier,1
HELLWEG,2
ICA Kvantum,4
Dollarama,11
La Poste,10
Tom & Co,1
Mercator,2
HiperDino Express,1
Conad City,2
Eataly,10
Shoppers Drug Mart,3
SUPER U,1
Profi,4
ICA Nära,1
DMart,30
Markant,19
E-Center,8
Meny,132
Unimarkt,1
DekaMarkt,2
Pathé Gaumont,1
Asda Express,4
Publix,28
UGC,4
Centre commercial E. Leclerc,36
Autogrill,43
kitea,1
Consum,21
More,2
Sprouts Farmers Market,388
Konsum Dresden,2
La Grande Récré,37
Tiger,1
HIT,87
Sephora,2
Раз Два,1
Norma,29
AEON BiG,10
Reliance Fresh,2
Au vieux campeur,4
SPAR,4
Pam,124
Nature et Découvertes,3
Żabka,216
MD,2
Gamm Vert,35
Müller,18
Dino,10
CVS Pharmacy,3
Poundland,3
Fresh Thyme,3
VélôToulouse,2
Continente Bom Dia,6
B&M Bargains,12
The Co-operative Food,55
Ara,1
REWE Getränkemarkt,1
Amazon,4
King Jouet,55
La Foir'Fouille,11
Sale,862
Marktkauf,7
SuperValu,4
Sitis,290
Iceland,44
Karstadt,1
Hudson's Bay,1
Coto,2
Manor,5
Ekosport,7
Fortinos,1
Damart,5
Фантастико,2
Univerexport,3
Food Lion,12
オリンピック,2
Obs,265
Apotek 1,5
AD Delhaize,3
Centre commercial E.Leclerc,1
H-E-B,16
Key Food,7
Dollarstore,12
IKI,7
VOI,2
Tigros,1
Marché Adonis,8
Maxi ICA Stormarknad,4
NTT docomo,1
Apollo Pharmacy,1
Coop 365discount,1
Pak'nSave,1
Intermarché Drive,1
Marshalls,5
Apoteket,25
Trader Joe's,599
Maxima,5
BonÀrea,9
NTUC Fairprice,1
Super-Pharm,58
Alza,1
Feneberg,32
Vons,7
Proximarché,54
Vélib' Métropole,5
famila,3
JYSK,2
V-MARKT,35
OMV,1
FoodMaxx,110
Alimerka,2
Naturenville,135
Shell,1
METRO,4
IGA,8
Vita,1
Mondial Relay,1
Leader Price,15
Lafayette,83
Food Basics,1
Dia Market,1
Winners,2
Budnikowsky,3
イオンモール,1
Amazonロッカー,9
REWE To Go,16
Express Market,3
Narvesen,1
Kindly!,1
Market Basket,10
E.Leclerc Express,155
Beets & Roots,5
Hebe,4
Ralphs,1
K-Market,43
Kinsarvik Naturkost,6
Co-op,1
Carulla,1
Waitrose & Partners,1
ローソン,1
Elgiganten,1
Di,4
Big Market,2
Kult,1
კარფური,1
Mondadori,2
Pingo Doce,13
Albert,16
Minipreço,5
Harris Teeter,1
Savers,3
Bodega Aurrera,1
Conad Superstore,1
Farm Boy,1
Froiz,2
Elkjøp,3
ICA Supermarket,3
Pete's Market,1
Maxi Zoo,2
Lenovo,1
Lulu Hypermarket,1
FamilyMart,4
Shoprite,2
Proxy Delhaize,37
Dollar Tree,5
Lotus's,12
Tops,9
Makro,3
Big C,8
Picnic,2
Krambúð,4
Nous anti-gaspi,31
Rusta,17
Vishal Mega Mart,1
Kmart,1
Continente Modelo,7
Moustache;Lapierre;Scott,1
Mäc-Geiz,1
Dillons,2
XXL,1
Super 99,1
Lowe's,3
Ditt Apotek,1
Dpiù,1
Σκλαβενίτης,1
Power,1
Kruidvat,10
Homeplus,3
Giant Eagle,1
Weis,30
Elvi,1
Coop (Sweden),10
Tesco Mobile,1
Taste,1
The Home Depot,1
Holland & Barrett,3
Вопак,3
Penny Soester Süden,1
Dirk,1
Thalia,1
Nature & Découvertes,2
聖安娜餅屋 Saint Honore Cake Shop,1
Walgreens,1
優品360 Best Mart 360,1
Farmatodo,1
Dollar General,1
Cactus,1
Super U;Station U,3
Cumberland Farms,1
The Vitamin Shoppe,1
Пятёрочка,1
Caprabo,1
Provigo,1
Chemist Warehouse,1
Markt-Bäckerei,1
Ministop,1
Stokrotka,1
Home Bargains,3
Boots,7
Agrola,1
99 Ranch Market,338
City Market,2
Магнолия,5
Chicken Republic,1
Boulanger,1
Géant Casino,6
Cœur de frais,22
Marie Blachère,1
Pick n Pay Clothing,1
Pick n Pay,1
Аврора,4
World Market,8
Coop Pronto,1
Todis,6
Masymas,1
Pick n Pay Express,3
Aveve,1
Kitea,1
Otto's,1
Darty,27
Bureau Vallée,15
Dogman,3
Truffaut,1
NaturaSì,2
Pharmaprix,1
New Balance,2
Gadis,2
Søstrene Grene,1
Valcarce,2
Petco,20
B&M,7
Price Rite,1
Bio-Planet,21
Coop City,7
Pehlivanoğlu,5
Lucky,252
Stop & Shop,7
Chronodrive,1
Mariano's Fresh Market,1
rmhildebrandt,46
Primaprix,8
Лента,2
Migrolino,1
Alfamart,10
MAC Cosmetics,3
Halyk Bank,1
Zehrs,2
Bricomarché,1
Momie,2
Schnucks,1
Indomaret,2
Fressnapf,1
Xenos,1
Hipermaxi,1
Weldom,1
MediaMarkt,1
רמי לוי שיווק השקמה,2
The MarketPlace,1
avec,1
BJ's Wholesale Club,3
OBI,1
Sobeys,4
Reliance Digital,1
QFC,8
Магнит,13
Big Y,2
HiperDino,1
Okay,3
Linella,1
FreshCo,1
Rewe City,1
Fred Meyer,40
itsu,1
Budni,1
Krónan,1
Amazon Fresh,1
Healthy Planet,3
Lindt,1
H Mart,9
Amul,1
ハナマサ,1
Монетка,5
V'Lille,1
Crai,1
Saturn,1
Чижик,3
IDEA Super,5
Coles Local,10
Amazon Locker,1
Migros Daily,1
Donkey Republic,1
Continente Plug&Charge,2
L'Occitane,1
Tigotà,1
JouéClub,8
KiK,1
Mix Markt,9
