source_category,nsi_id,display_name,tags_brand,brand_wikidata,location_include,location_exclude,match_names_count,match_input_name,match_slug,match_status,matched_image_svg,matched_image_png
pharmacy,3i-996e17,3і,3і,Q117705687,ua,,4,3і,3,no,,
clothes,47street-3c23f6,47 Street,47 Street,Q4638513,ar,,0,47 Street,47-street,only_png,,47-street.png
cafe,49thparallelcoffeeroasters-aa8067,49th Parallel Coffee Roasters,49th Parallel Coffee Roasters,Q104844785,ca,,0,49th Parallel Coffee Roasters,49th-parallel-coffee-roasters,only_png,,49th-parallel-coffee-roasters.png
convenience,4all-edef5f,4all,4all,Q130279387,gr,,0,4all,4all,only_png,,4all.png
clothes,4f-e46949,4F,4F,Q16525801,cz|de|lt|lv|pl|ro|sk|ua,,0,4F,4f,only_png,,4f.png
fast_food,4fingerscrispychicken-aadea7,4Fingers Crispy Chicken,4Fingers Crispy Chicken,Q23043391,id|my|sg,,1,4Fingers Crispy Chicken,4fingers-crispy-chicken,only_png,,4fingers-crispy-chicken.png
cafe,5togo-24f015,5 to go,5 to go,Q115684369,ro,,0,5 to go,5-to-go,only_png,,5-to-go.png
clothes,51015-196c99,5.10.15,5.10.15,Q128781018,pl,,0,5.10.15,5-10-15,only_png,,5-10-15.png
clothes,511tactical-3937bd,5.11 Tactical,5.11 Tactical,Q85322338,001,,0,5.11 Tactical,5-11-tactical,only_png,,5-11-tactical.png
cafe,50lan-7d270d,50嵐,50嵐,Q106926258,tw,,0,50嵐,50,no,,
restaurant,54thstreetgrillandbar-28ad39,54th Street Grill and Bar,54th Street Grill and Bar,Q131290500,us-il.geojson|us-ks.geojson|us-mo.geojson|us-tx.geojson,,1,54th Street Grill and Bar,54th-street-grill-and-bar,only_png,,54th-street-grill-and-bar.png
restaurant,60secondstonapoli-051971,60 seconds to napoli,60 seconds to napoli,Q122831972,de,,0,60 seconds to napoli,60-seconds-to-napoli,only_png,,60-seconds-to-napoli.png
clothes,6ixty8ight-7905dc,6IXTY8IGHT,6IXTY8IGHT,Q131463201,hk|kr|mo|my|sg|tw,,0,6IXTY8IGHT,6ixty8ight,only_png,,6ixty8ight.png
cafe,7brew-243cad,7 Brew,7 Brew,Q131838275,us,,2,7 Brew,7-brew,only_png,,7-brew.png
clothes,7forallmankind-0615dc,7 For All Mankind,7 For All Mankind,Q270013,ca|us,,1,7 For All Mankind,7-for-all-mankind,only_png,,7-for-all-mankind.png
cafe,7leavescafe-32992d,7 Leaves Cafe,7 Leaves Cafe,Q118480682,us-ca.geojson|us-ga.geojson|us-nv.geojson|us-tx.geojson,,0,7 Leaves Cafe,7-leaves-cafe,no,,
chemist,023389-2141a5,7 Дней,7 Дней,,ru,,0,7 Дней,7,no,,
convenience,7eleven-2da37b,7-Eleven (Norge),7-Eleven,Q259340,no,,2,7-Eleven,7-eleven,both,7-eleven.svg,7-eleven.png
convenience,7eleven-652b3e,セブン-イレブン,7-ELEVEN,Q259340,jp,,2,7-ELEVEN,7-eleven,both,7-eleven.svg,7-eleven.png
convenience,7eleven-e1b4e3,7-Eleven,7-Eleven,Q259340,001,jp|kr|no,5,7-Eleven,7-eleven,both,7-eleven.svg,7-eleven.png
convenience,724mix-9d5235,7/24 Mix,7/24 Mix,Q113264389,mx,,0,7/24 Mix,7-24-mix,only_png,,7-24-mix.png
fast_food,72street-65b4e8,72街,72街,Q108683743,cn,,0,72街,72,no,,
convenience,759store-298a73,759阿信屋 759 Store,759阿信屋 759 Store,Q10846179,hk,,0,759阿信屋 759 Store,759-759-store,no,,
convenience,76-f1e40b,76,76,Q1658320,us,,0,76,76,both,76.svg,76.png
cafe,sweet7-823e31,7分甜,7分甜,Q108117854,cn,hk|mo,0,7分甜,7,no,,
convenience,8ahuit-bf3eb4,8 à Huit,8 à Huit,Q2818601,fr,,0,8 à Huit,8-a-huit,only_svg,8-a-huit.svg,
supermarket,8ahuit-c16b1c,8 à Huit,8 à Huit,Q2818601,fr,,0,8 à Huit,8-a-huit,only_svg,8-a-huit.svg,
wine,8000vintages-a3a873,8000 მოსავალი,8000 მოსავალი,Q136806379,ge,,0,8000 მოსავალი,8000,no,,
trade,84lumber-4e950c,84 Lumber,84 Lumber,Q4644779,us,,2,84 Lumber,84-lumber,only_png,,84-lumber.png
cafe,e0165f-07c6ab,85°C Bakery Cafe,85°C Bakery Cafe,Q4644852,au|us,,8,85°C Bakery Cafe,85c-bakery-cafe,no,,
cafe,957ff6-f1b18f,85度C,85度C,Q4644852,cn|tw,hk|mo,3,85度C,85c,no,,
cafe,947985-b3d618,85度C 85°C Bakery Cafe,85度C 85°C Bakery Cafe,Q4644852,hk|mo,,3,85度C 85°C Bakery Cafe,85c-85c-bakery-cafe,no,,
variety_store,99centsonlystores-c85191,99 Cents Only Stores,99 Cents Only Stores,Q4646294,us,,2,99 Cents Only Stores,99-cents-only-stores,only_svg,99-cents-only-stores.svg,
supermarket,99ranchmarket-dde59d,99 Ranch Market,99 Ranch Market,Q4646307,us,,2,99 Ranch Market,99-ranch-market,only_png,,99-ranch-market.png
variety_store,99speedmart-14cb81,99 Speedmart,99 Speedmart,Q62075061,my,,0,99 Speedmart,99-speedmart,only_png,,99-speedmart.png
supermarket,99speedmart-bfc07b,99 Speedmart,99 Speedmart,Q62075061,my|sg,,0,99 Speedmart,99-speedmart,only_png,,99-speedmart.png
houseware,home-dd60e2,@home,@home,Q116429887,bw|gh|mz|na|za,,0,@home,home,only_png,,home.png
houseware,homelivingspace-dd60e2,@Home Livingspace,@Home Livingspace,Q117406343,bw|gh|mz|na|za,,0,@Home Livingspace,home-livingspace,no,,
bakery,apadariaportuguesa-6fa785,A Padaria Portuguesa,A Padaria Portuguesa,Q113951278,pt,,0,A Padaria Portuguesa,a-padaria-portuguesa,only_png,,a-padaria-portuguesa.png
supermarket,aando-0cb133,A&O,A&O,Q3600279,it,,0,A&O,a-o,only_png,,a-o.png
fast_food,aandw-4d2ff4,A&W (USA),A&W,Q277641,us,,0,A&W,a-w,only_png,,a-w.png
fast_food,aandw-627b23,A&W (Malaysia),A&W,Q132858554,my,,1,A&W,a-w,only_png,,a-w.png
fast_food,aandw-e49d2e,A&W (Canada),A&W,Q2818848,ca,,1,A&W,a-w,only_png,,a-w.png
bakery,a1bakery-d71ca5,A-1 Bakery,A-1 Bakery,Q117270360,hk|jp,,0,A-1 Bakery,a-1-bakery,only_png,,a-1-bakery.png
furniture,ameubel-e8ade6,A-Meubel,A-Meubel,Q122904371,nl,,0,A-Meubel,a-meubel,only_png,,a-meubel.png
craft,acmoore-94ee6e,A.C. Moore,A.C. Moore,Q4647066,us,,0,A.C. Moore,a-c-moore,only_png,,a-c-moore.png
clothes,apc-3937bd,A.P.C.,A.P.C.,Q546542,001,,0,A.P.C.,a-p-c,no,,
outdoor,asadventure-718831,A.S.Adventure,A.S.Adventure,Q1815008,be|fx|lu|nl,,0,A.S.Adventure,a-s-adventure,only_png,,a-s-adventure.png
supermarket,a101-5b5772,A101,A101,Q6034496,tr,,0,A101,a101,both,a101.svg,a101.png
convenience,a101-62eaab,A101,A101,,tr,,0,A101,a101,both,a101.svg,a101.png
sports,a3sport-9dd59e,A3 SPORT,A3 SPORT,Q58170961,cz|de|sk,,0,A3 SPORT,a3-sport,only_png,,a3-sport.png
furniture,aarons-a694b9,Aaron's,Aaron's,Q10397787,ca|us,,1,Aaron's,aarons,only_png,,aarons.png
dairy,aavin-6e9671,Aavin,Aavin,Q4662814,in,,0,Aavin,aavin,no,,
convenience,abarroteslupita-9d5235,Abarrotes Lupita,Abarrotes Lupita,,mx,,0,Abarrotes Lupita,abarrotes-lupita,no,,
convenience,abarrotesmonterrey-9d5235,Abarrotes Monterrey,Abarrotes Monterrey,Q113182569,mx,,0,Abarrotes Monterrey,abarrotes-monterrey,only_png,,abarrotes-monterrey.png
ice_cream,abbottsfrozencustard-8697a4,Abbott's Frozen Custard,Abbott's Frozen Custard,Q4664334,us,,0,Abbott's Frozen Custard,abbotts-frozen-custard,only_png,,abbotts-frozen-custard.png
restaurant,abbys-7af206,Abby's,Abby's Pizza,Q112648278,us-or.geojson|us-wa.geojson,,0,Abby's Pizza,abbys-pizza,only_png,,abbys-pizza.png
convenience,abc-540f13,ABC (Hawaii),ABC,Q4650251,us-hi,,1,ABC,abc,only_png,,abc.png
convenience,abc-95f41b,abc (Polska),abc,Q11683985,pl,,0,abc,abc,only_png,,abc.png
alcohol,abc-bba101,ABC (North Carolina),ABC,Q7054415,us-nc.geojson,,1,ABC,abc,only_png,,abc.png
supermarket,abclavpris-072052,ABC Lavpris,ABC Lavpris,Q12300077,dk,,0,ABC Lavpris,abc-lavpris,only_png,,abc-lavpris.png
shoes,abcschuhcenter-0833e2,ABC Schuh-Center,ABC Schuh-Center,Q66007228,de,,1,ABC Schuh-Center,abc-schuh-center,no,,
trade,abcsupply-4e950c,ABC Supply,ABC Supply,Q4650247,us,,1,ABC Supply,abc-supply,only_png,,abc-supply.png
shoes,1b892c-53e098,ABCマート,ABCマート,Q11188787,jp,,0,ABCマート,abc,only_png,,abc.png
clothes,abercrombieandfitch-c53b2f,Abercrombie & Fitch,Abercrombie & Fitch,Q319344,ae|be|ca|cn|de|es|fx|gb|ie|it|jp|kw|mx|nl|qa|sa|sg|us,,0,Abercrombie & Fitch,abercrombie-fitch,only_png,,abercrombie-fitch.png
clothes,abercrombiekids-a75dc9,Abercrombie Kids,Abercrombie Kids,Q429856,ae|ca|cn|de|gb|it|nl|sg|us,,0,Abercrombie Kids,abercrombie-kids,only_png,,abercrombie-kids.png
fast_food,abokado-8bf212,Abokado,Abokado,Q21006819,gb-lon.geojson,,0,Abokado,abokado,no,,
sports,academysportsoutdoors-89ce6f,Academy Sports + Outdoors,Academy Sports + Outdoors,Q4671380,us,,2,Academy Sports + Outdoors,academy-sports-outdoors,only_png,,academy-sports-outdoors.png
doityourself,acehardware-092aaf,Ace Hardware,Ace Hardware,Q4672981,001,,0,Ace Hardware,ace-hardware,only_png,,ace-hardware.png
clothes,ackermans-c712e2,Ackermans,Ackermans,Q4674255,bw|ls|na|sz|za,,0,Ackermans,ackermans,only_png,,ackermans.png
supermarket,acme-dde59d,Acme,Acme,Q341975,us,,0,Acme,acme,both,acme.svg,acme.png
chemist,acquaandsapone-864e82,Acqua & Sapone,Acqua & Sapone,Q51079044,it,,1,Acqua & Sapone,acqua-sapone,only_png,,acqua-sapone.png
variety_store,action-ba0d1d,Action,Action,Q2634111,at|be|cz|de|es|fr|it|lu|nl|pl|pt|sk,,0,Action,action,both,action.svg,action.png
supermarket,addelhaize-f276cb,AD Delhaize,AD Delhaize,Q1184173,be|lu,,0,AD Delhaize,ad-delhaize,both,ad-delhaize.svg,ad-delhaize.png
clothes,adlib-33ce1a,ad-lib,ad-lib,Q117014226,hk|mo,,0,ad-lib,ad-lib,only_png,,ad-lib.png
houseware,adairs-bc6f54,Adairs,Adairs,Q109626904,au|nz,,0,Adairs,adairs,only_png,,adairs.png
clothes,adam-691270,Adam,Adam,Q134269714,sk,,0,Adam,adam,no,,
clothes,additionelle-9e1367,Addition Elle,Addition Elle,Q4681311,ca,,0,Addition Elle,addition-elle,no,,
supermarket,adeg-1eef1d,ADEG,ADEG,Q290211,at,,0,ADEG,adeg,both,adeg.svg,adeg.png
pharmacy,adel-c16414,ADEL,ADEL,,by,,0,ADEL,adel,no,,
sports,adidas-6ae886,Adidas,Adidas,Q3895,001,mainland china,0,Adidas,adidas,both,adidas.svg,adidas.png
clothes,adidasoriginals-3937bd,Adidas Originals,Adidas Originals,Q4682711,001,,2,Adidas Originals,adidas-originals,only_svg,adidas-originals.svg,
clothes,adler-108da6,Adler,Adler,Q358196,at|de|lu,,0,Adler,adler,only_png,,adler.png
convenience,admiral-d554ea,Admiral,Admiral,,us-mi.geojson,,0,Admiral,admiral,only_png,,admiral.png
sports,admiralsports-71efeb,Admiral Sports,Admiral Sports,Q4683720,gr,,0,Admiral Sports,admiral-sports,only_png,,admiral-sports.png
pub,adnams-eaed91,Adnams,Adnams,Q4683851,gb,,0,Adnams,adnams,no,,
perfumery,adopt-6637a2,Adopt',Adopt',Q104649177,be|fr|lu,,0,Adopt',adopt,only_png,,adopt.png
confectionery,adyaranandabhavan-abc6d4,Adyar Ananda Bhavan,Adyar Ananda Bhavan,Q15178238,in,,0,Adyar Ananda Bhavan,adyar-ananda-bhavan,only_png,,adyar-ananda-bhavan.png
supermarket,aeon-745f9c,永旺 AEON,AEON,Q271413,hk,,1,AEON,aeon,both,aeon.svg,aeon.png
supermarket,aeonbig-80e9ee,AEON BiG,AEON BiG,Q8077280,my,,0,AEON BiG,aeon-big,only_png,,aeon-big.png
supermarket,aeonsupercenter-fe0970,イオンスーパーセンター,AEON SUPERCENTER,Q11285970,jp,,0,AEON SUPERCENTER,aeon-supercenter,only_svg,aeon-supercenter.svg,
clothes,aerie-0e6d3d,Aerie,Aerie,Q25351619,ca|il|us,,0,Aerie,aerie,both,aerie.svg,aerie.png
clothes,aeropostale-3937bd,Aeropostale,Aeropostale,Q794565,001,,0,Aeropostale,aeropostale,only_png,,aeropostale.png
cosmetics,aesop-a08666,Aesop,Aesop,Q4688560,001,,0,Aesop,aesop,only_png,,aesop.png
ice_cream,aftersoriginal-22b8b7,Afters Original,Afters,Q111811913,ae|gb,,0,Afters,afters,no,,
restaurant,afuri-9b358b,AFURI,AFURI,Q109237427,ca|hk|jp|pt|sg|us,,0,AFURI,afuri,no,,
pharmacy,agafarma-295f06,Agafarma,Agafarma,Q93735939,br,,0,Agafarma,agafarma,only_png,,agafarma.png
furniture,agatameble-ad60fa,Agata Meble,Agata Meble,Q9141928,pl,,0,Agata Meble,agata-meble,only_png,,agata-meble.png
pharmacy,agel-627b3f,Agel,Agel,Q41365932,cz|sk,,0,Agel,agel,only_png,,agel.png
clothes,agentprovocateur-3937bd,Agent Provocateur,Agent Provocateur,Q392755,001,,0,Agent Provocateur,agent-provocateur,only_png,,agent-provocateur.png
clothes,agnesb-bcfdbd,Agnès B.,Agnès B.,Q282967,cn|de|fx|gb|jp|ne|sg|tw|us,,0,Agnès B.,agnes-b,only_png,,agnes-b.png
fast_food,agvania-dbdcb8,עגבניה,Agvania Pizza,,il,,0,Agvania Pizza,agvania-pizza,no,,
perfumery,ahmedalmaghribi-e40920,Ahmed Al Maghribi,Ahmed Al Maghribi,,145,,0,Ahmed Al Maghribi,ahmed-al-maghribi,no,,
supermarket,ahorramas-0513f1,Ahorramás,Ahorramás,Q58221883,es,,0,Ahorramás,ahorramas,only_png,,ahorramas.png
convenience,aibe-401681,Aibe,Aibe,Q126120243,lv,,0,Aibe,aibe,only_png,,aibe.png
convenience,aibe-64a6c9,Aibė,Aibė,Q1022952,lt,,0,Aibė,aibe,only_png,,aibe.png
cafe,aida-42834c,Aida,Aida,Q794636,at,,0,Aida,aida,only_png,,aida.png
clothes,aigle-90f7b7,Aigle,Aigle,Q404391,fx,,0,Aigle,aigle,no,,
fast_food,6856b5-7582d1,Aik Бистро,Aik Бистро,,ru,,0,Aik Бистро,aik,no,,
furniture,aikoxxxl-685932,Aiko XXXL,Aiko XXXL,Q110614670,bg,,1,Aiko XXXL,aiko-xxxl,only_png,,aiko-xxxl.png
bakery,aili-c0ca1d,AILI,AILI,,cn,,0,AILI,aili,no,,
mobile_phone,airtel-62d34e,Airtel,Airtel,Q854867,202|in,,0,Airtel,airtel,only_png,,airtel.png
books,akademibokhandeln-9645e8,Akademibokhandeln,Akademibokhandeln,Q10403918,se,,0,Akademibokhandeln,akademibokhandeln,only_png,,akademibokhandeln.png
books,akateeminenkirjakauppa-0c91f3,Akateeminen Kirjakauppa,Akateeminen Kirjakauppa,Q10403942,fi,,0,Akateeminen Kirjakauppa,akateeminen-kirjakauppa,only_png,,akateeminen-kirjakauppa.png
furniture,akhona-4d9761,Akhona,Akhona,Q116620476,za,,0,Akhona,akhona,only_png,,akhona.png
books,ako-1267b5,AKO,AKO,Q2159963,nl,,0,AKO,ako,no,,
pet,akvazoo-381fdf,Akvazoo,Akvazoo,Q132130358,cz,,0,Akvazoo,akvazoo,only_png,,akvazoo.png
convenience,alprimeenergy-e1865d,AL Prime Energy,AL Prime Energy,Q135268157,us-fl.geojson|us-ma.geojson|us-nh.geojson,,1,AL Prime Energy,al-prime-energy,no,,
fast_food,alsbeef-6bb90c,Al's Beef,Al's Beef,Q110609570,us-il-cook_county.geojson,,0,Al's Beef,als-beef,no,,
restaurant,aladdinseatery-bc6413,Aladdin's Eatery,Aladdin's Eatery,Q4705482,us-in.geojson|us-nc.geojson|us-oh.geojson|us-pa.geojson,,0,Aladdin's Eatery,aladdins-eatery,only_png,,aladdins-eatery.png
fast_food,aladinfoods-1fab0a,Aladin Foods,Aladin Foods,Q115656547,bg,,1,Aladin Foods,aladin-foods,only_png,,aladin-foods.png
cinema,alamodrafthousecinema-a7c63e,Alamo Drafthouse Cinema,Alamo Drafthouse Cinema,Q4705954,us,,2,Alamo Drafthouse Cinema,alamo-drafthouse-cinema,only_png,,alamo-drafthouse-cinema.png
supermarket,albert-8e6809,Albert,Albert,Q9144241,cz,,0,Albert,albert,only_png,,albert.png
supermarket,albertheijn-1cf55d,Albert Heijn,Albert Heijn,Q1653985,be|nl,,0,Albert Heijn,albert-heijn,both,albert-heijn.svg,albert-heijn.png
convenience,albertheijntogo-f85122,Albert Heijn to go,Albert Heijn to go,Q77971185,nl,,0,Albert Heijn to go,albert-heijn-to-go,only_png,,albert-heijn-to-go.png
supermarket,albertheijnxl-1cf55d,Albert Heijn XL,Albert Heijn XL,Q78163765,be|nl,,0,Albert Heijn XL,albert-heijn-xl,only_png,,albert-heijn-xl.png
supermarket,albertsons-dde59d,Albertsons,Albertsons,Q2831861,us,,1,Albertsons,albertsons,both,albertsons.svg,albertsons.png
supermarket,albertsonsmarket-ba1fb8,Albertsons Market,Albertsons Market,Q115350320,us-nm.geojson,,0,Albertsons Market,albertsons-market,only_png,,albertsons-market.png
pharmacy,albertsonspharmacy-3ab288,Albertsons Pharmacy,Albertsons Pharmacy,Q2831861,us,,0,Albertsons Pharmacy,albertsons-pharmacy,both,albertsons-pharmacy.svg,albertsons-pharmacy.png
gift,albi-100c1c,Albi,Albi,Q67804907,cz|sk,,0,Albi,albi,only_png,,albi.png
supermarket,alcampo-0513f1,Alcampo,Alcampo,Q2832081,es,,0,Alcampo,alcampo,only_png,,alcampo.png
alcohol,alcoholandtabakoff-059946,Alcohol & Tabakoff,Alcohol & Tabakoff,Q111364479,bg,,0,Alcohol & Tabakoff,alcohol-tabakoff,only_png,,alcohol-tabakoff.png
clothes,alcott-d72191,Alcott,Alcott,Q97763617,it,,0,Alcott,alcott,only_png,,alcott.png
supermarket,aldi-3a2eb7,Aldi (Aldi Nord group),Aldi,Q41171373,be|dk|es|fx|lu|nl|pl|pt,,2,Aldi,aldi,both,aldi.svg,aldi.png
supermarket,aldi-68f0e3,Aldi (Aldi Süd group),Aldi,Q41171672,au|ch|cn|gb|hu|ie|it|us,,5,Aldi,aldi,both,aldi.svg,aldi.png
supermarket,aldi-813759,Aldi Nord (Deutschland),Aldi Nord,Q41171373,de,aldi-sued.geojson,0,Aldi Nord,aldi-nord,both,aldi-nord.svg,aldi-nord.png
supermarket,aldisud-e4a24f,Aldi Süd (Deutschland),Aldi Süd,Q41171672,aldi-sued.geojson,,1,Aldi Süd,aldi-sud,both,aldi-sud.svg,aldi-sud.png
shoes,aldo-9b62dc,Aldo,Aldo,Q2832297,001,,1,Aldo,aldo,only_png,,aldo.png
gift,alehop-83a8e4,ALE-HOP,ALE-HOP,Q98456840,es|hr|it|mx|pt,,0,ALE-HOP,ale-hop,only_png,,ale-hop.png
convenience,alepa-5dea79,Alepa,Alepa,Q4716167,fi,,0,Alepa,alepa,only_png,,alepa.png
restaurant,alex-051971,ALEX,ALEX,Q18018122,de,,0,ALEX,alex,only_png,,alex.png
clothes,alexandermcqueen-3937bd,Alexander McQueen,Alexander McQueen,Q13882231,001,,0,Alexander McQueen,alexander-mcqueen,only_png,,alexander-mcqueen.png
convenience,alfaexpress-bb8a09,Alfa Express,Alfa Express,Q12471463,id,,0,Alfa Express,alfa-express,only_svg,alfa-express.svg,
convenience,alfamart-28d321,Alfamart,Alfamart,Q23745600,id|ph,,0,Alfamart,alfamart,both,alfamart.svg,alfamart.png
convenience,alfamidi-bb8a09,Alfamidi,Alfamidi,Q12471462,id,,0,Alfamidi,alfamidi,both,alfamidi.svg,alfamidi.png
fast_food,alibabas-e49d2e,Ali Baba's,Ali Baba's,Q105398745,ca,,0,Ali Baba's,ali-babas,no,,
clothes,aliantanjay-9e1367,Alia N TanJay,Alia N TanJay,Q65947844,ca,,0,Alia N TanJay,alia-n-tanjay,only_png,,alia-n-tanjay.png
fast_food,alice-8391d7,Alice,Alice,Q113973272,es|it|mt|us,,2,Alice,alice,only_png,,alice.png
clothes,aliceolivia-b99316,Alice + Olivia,Alice + Olivia,Q4725705,cn|gb|jp|kr|sg|th|tw|us,,0,Alice + Olivia,alice-olivia,no,,
houseware,alicedelice-791615,Alice Délice,Alice Délice,Q105099543,fx,,0,Alice Délice,alice-delice,only_png,,alice-delice.png
supermarket,alimerka-0513f1,Alimerka,Alimerka,Q16482738,es,,0,Alimerka,alimerka,both,alimerka.svg,alimerka.png
alcohol,alko-d1a8a4,Alko,Alko,Q1849187,fi,,0,Alko,alko,only_svg,alko.svg,
bar,allbarone-60d62f,All Bar One,All Bar One,Q4728624,gb,,0,All Bar One,all-bar-one,no,,
convenience,alldayconveniencestore-fb2210,All Day Convenience Store,All Day,Q120142311,ph,,0,All Day,all-day,only_png,,all-day.png
supermarket,alldaysupermarket-49e134,All Day Supermarket,All Day Supermarket,Q120142311,ph,,0,All Day Supermarket,all-day-supermarket,only_png,,all-day-supermarket.png
fast_food,allanticovinaio-6b6fb0,All'Antico Vinaio,All'Antico Vinaio,Q136350648,ae|gb-eng|it|us,,0,All'Antico Vinaio,allantico-vinaio,only_png,,allantico-vinaio.png
shoes,allbirds-9b62dc,Allbirds,Allbirds,Q30591057,001,,0,Allbirds,allbirds,only_png,,allbirds.png
beverages,alldrink-c4cb62,alldrink,alldrink,Q110155637,de,,0,alldrink,alldrink,only_png,,alldrink.png
shoes,allenedmonds-c5ede1,Allen Edmonds,Allen Edmonds,Q4731627,us,,0,Allen Edmonds,allen-edmonds,only_png,,allen-edmonds.png
clothes,allensolly-f8e8b1,Allen Solly,Allen Solly,Q110036995,in,,0,Allen Solly,allen-solly,only_png,,allen-solly.png
houseware,allesz-c9ad4a,Allesz,Allesz,Q136703522,nl,,0,Allesz,allesz,no,,
doityourself,allhome-8037a1,AllHome,AllHome,Q131986621,ph,,0,AllHome,allhome,only_png,,allhome.png
pharmacy,alliedpharmacy-c9f407,Allied Pharmacies,Allied Pharmacies,Q116272370,gb-eng,,0,Allied Pharmacies,allied-pharmacies,no,,
clothes,allsaints-200d98,AllSaints,AllSaints,Q4728473,cn|fx|gb|ie|kr|mx|us,,0,AllSaints,allsaints,only_png,,allsaints.png
convenience,allsups-f1e40b,Allsup's,Allsup's,Q4733292,us,,1,Allsup's,allsups,both,allsups.svg,allsups.png
convenience,alltown-ae58e4,Alltown,Alltown,Q119586667,us-ct.geojson|us-ma.geojson|us-me.geojson|us-nh.geojson|us-ri.geojson,,0,Alltown,alltown,only_png,,alltown.png
